optimizer_name,function_id,dimension,target_value,ert,success_rate
1komma2mirser brockhoff (2010),3,20,1e-07,1530207651,0.000000
1komma2mirser brockhoff (2010),8,2,1e-07,1274.866656,1.000000
1komma2mirser brockhoff (2010),8,5,1e-07,3277.666826,1.000000
1komma2mirser brockhoff (2010),8,10,1e-07,9076.999907,1.000000
1komma2mirser brockhoff (2010),8,20,1e-07,22514.935248,1.000000
1komma2mirser brockhoff (2010),15,2,1e-07,10038.786264,0.933333
1komma2mirser brockhoff (2010),15,5,1e-07,1067971359,0.000000
1komma2mirser brockhoff (2010),15,10,1e-07,7983479834,0.000000
1komma2mirser brockhoff (2010),15,20,1e-07,92000920000,0.000000
1komma2ser brockhoff (2010),1,2,1e-07,301.533336,1.000000
1komma2ser brockhoff (2010),1,5,1e-07,867.999996,1.000000
1komma2ser brockhoff (2010),1,10,1e-07,1867.933339,1.000000
1komma2ser brockhoff (2010),1,20,1e-07,3833.333341,1.000000
1komma2ser brockhoff (2010),2,2,1e-07,4464.933322,1.000000
1komma2ser brockhoff (2010),2,5,1e-07,8365.13332,1.000000
1komma2ser brockhoff (2010),2,10,1e-07,23908.33341,1.000000
1komma2ser brockhoff (2010),2,20,1e-07,80522.533206,1.000000
1komma2ser brockhoff (2010),3,2,1e-07,23356.124864,0.533333
1komma2ser brockhoff (2010),3,5,1e-07,82701654,0.000000
1komma2ser brockhoff (2010),3,10,1e-07,365107302,0.000000
1komma2ser brockhoff (2010),3,20,1e-07,1530207651,0.000000
1komma2ser brockhoff (2010),8,2,1e-07,9208.076976,0.866667
1komma2ser brockhoff (2010),8,5,1e-07,8765.933388,1.000000
1komma2ser brockhoff (2010),8,10,1e-07,29794.667194,1.000000
1komma2ser brockhoff (2010),8,20,1e-07,82896.35818,0.933333
1komma2ser brockhoff (2010),15,2,1e-07,25476.000116,0.533333
1komma2ser brockhoff (2010),15,5,1e-07,1067971359,0.000000
1komma2ser brockhoff (2010),15,10,1e-07,7983479834,0.000000
1komma2ser brockhoff (2010),15,20,1e-07,92000460000,0.000000
1komma4 brockhoff (2010),1,2,1e-07,195.6,1.000000
1komma4 brockhoff (2010),1,5,1e-07,493.400004,1.000000
1komma4 brockhoff (2010),1,10,1e-07,1054.999995,1.000000
1komma4 brockhoff (2010),1,20,1e-07,2092.866674,1.000000
1komma4 brockhoff (2010),2,2,1e-07,792.400002,1.000000
1komma4 brockhoff (2010),2,5,1e-07,2556.733354,1.000000
1komma4 brockhoff (2010),2,10,1e-07,7623.73326,1.000000
1komma4 brockhoff (2010),2,20,1e-07,27576.266481,1.000000
1komma4 brockhoff (2010),3,2,1e-07,6439.71448,0.933333
1komma4 brockhoff (2010),3,5,1e-07,82703308,0.000000
1komma4 brockhoff (2010),3,10,1e-07,365114604,0.000000
1komma4 brockhoff (2010),3,20,1e-07,1530230604,0.000000
1komma4 brockhoff (2010),8,2,1e-07,858.799984,1.000000
1komma4 brockhoff (2010),8,5,1e-07,2669.533176,1.000000
1komma4 brockhoff (2010),8,10,1e-07,9173.06604,1.000000
1komma4 brockhoff (2010),8,20,1e-07,35731.601476,1.000000
1komma4 brockhoff (2010),15,2,1e-07,3015.33306,1.000000
1komma4 brockhoff (2010),15,5,1e-07,1067992718,0.000000
1komma4 brockhoff (2010),15,10,1e-07,7983719336,0.000000
1komma4 brockhoff (2010),15,20,1e-07,92000920000,0.000000
1komma4mir brockhoff (2010),1,2,1e-07,187.533336,1.000000
1komma4mir brockhoff (2010),1,5,1e-07,447.999996,1.000000
1komma4mir brockhoff (2010),1,10,1e-07,900.533329,1.000000
1komma4mir brockhoff (2010),1,20,1e-07,1794.400019,1.000000
1komma4mir brockhoff (2010),2,2,1e-07,796.666656,1.000000
1komma4mir brockhoff (2010),2,5,1e-07,2289.533372,1.000000
1komma4mir brockhoff (2010),2,10,1e-07,6782.333415,1.000000
1komma4mir brockhoff (2010),2,20,1e-07,22796.600088,1.000000
1komma4mir brockhoff (2010),3,2,1e-07,2857.13336,1.000000
1komma4mir brockhoff (2010),3,5,1e-07,725615.999192,0.066667
1komma4mir brockhoff (2010),3,10,1e-07,365107302,0.000000
1komma4mir brockhoff (2010),3,20,1e-07,1530230604,0.000000
1komma4mir brockhoff (2010),8,2,1e-07,624.999984,1.000000
1komma4mir brockhoff (2010),8,5,1e-07,2196.133154,1.000000
1komma4mir brockhoff (2010),8,10,1e-07,7939.333863,1.000000
1komma4mir brockhoff (2010),8,20,1e-07,27168.3318,1.000000
1komma4mir brockhoff (2010),15,2,1e-07,5361.800308,1.000000
1komma4mir brockhoff (2010),15,5,1e-07,1067992718,0.000000
1komma4mir brockhoff (2010),15,10,1e-07,7983719336,0.000000
1komma4mir brockhoff (2010),15,20,1e-07,92000920000,0.000000
1komma4mirser brockhoff (2010),1,2,1e-07,147,1.000000
1komma4mirser brockhoff (2010),1,5,1e-07,364.933332,1.000000
1komma4mirser brockhoff (2010),1,10,1e-07,672.53334,1.000000
1komma4mirser brockhoff (2010),1,20,1e-07,1345.333346,1.000000
1komma4mirser brockhoff (2010),2,2,1e-07,572.000002,1.000000
1komma4mirser brockhoff (2010),2,5,1e-07,1700.866644,1.000000
1komma4mirser brockhoff (2010),2,10,1e-07,5014.666605,1.000000
1komma4mirser brockhoff (2010),2,20,1e-07,17094.199956,1.000000
1komma4mirser brockhoff (2010),3,2,1e-07,4910.60016,1.000000
1komma4mirser brockhoff (2010),3,5,1e-07,82703308,0.000000
1komma4mirser brockhoff (2010),3,10,1e-07,365107302,0.000000
1komma4mirser brockhoff (2010),3,20,1e-07,1530215302,0.000000
1komma4mirser brockhoff (2010),8,2,1e-07,527.599968,1.000000
1komma4mirser brockhoff (2010),8,5,1e-07,1685.800114,1.000000
1komma4mirser brockhoff (2010),8,10,1e-07,6631.333786,1.000000
1komma4mirser brockhoff (2010),8,20,1e-07,25980.932728,1.000000
1komma4mirser brockhoff (2010),15,2,1e-07,5267.333272,1.000000
1komma4mirser brockhoff (2010),15,5,1e-07,728695.989502,0.066667
1komma4mirser brockhoff (2010),15,10,1e-07,7983479834,0.000000
1komma4mirser brockhoff (2010),15,20,1e-07,92000920000,0.000000
1komma4ser brockhoff (2010),1,2,1e-07,156,1.000000
1komma4ser brockhoff (2010),1,5,1e-07,418.8,1.000000
1komma4ser brockhoff (2010),1,10,1e-07,873.799992,1.000000
1komma4ser brockhoff (2010),1,20,1e-07,1700.533341,1.000000
1komma4ser brockhoff (2010),2,2,1e-07,689.199993,1.000000
1komma4ser brockhoff (2010),2,5,1e-07,2256.066646,1.000000
1komma4ser brockhoff (2010),2,10,1e-07,6691.33335,1.000000
1komma4ser brockhoff (2010),2,20,1e-07,22645.600056,1.000000
1komma4ser brockhoff (2010),3,2,1e-07,11039.58312,0.800000
1komma4ser brockhoff (2010),3,5,1e-07,82703308,0.000000
1komma4ser brockhoff (2010),3,10,1e-07,365107302,0.000000
1komma4ser brockhoff (2010),3,20,1e-07,1530215302,0.000000
1komma4ser brockhoff (2010),8,2,1e-07,730.333296,1.000000
1komma4ser brockhoff (2010),8,5,1e-07,2356.26654,1.000000
1komma4ser brockhoff (2010),8,10,1e-07,6851.466259,1.000000
1komma4ser brockhoff (2010),8,20,1e-07,27794.132292,1.000000
1komma4ser brockhoff (2010),15,2,1e-07,9824.153792,0.866667
1komma4ser brockhoff (2010),15,5,1e-07,1067971359,0.000000
1komma4ser brockhoff (2010),15,10,1e-07,7983559668,0.000000
1komma4ser brockhoff (2010),15,20,1e-07,92000920000,0.000000
1plus1 brockhoff (2010),1,2,1e-07,167.133336,1.000000
1plus1 brockhoff (2010),1,5,1e-07,394.933332,1.000000
1plus1 brockhoff (2010),1,10,1e-07,788.533334,1.000000
1plus1 brockhoff (2010),1,20,1e-07,1603.200003,1.000000
1plus1 brockhoff (2010),2,2,1e-07,482.333336,1.000000
1plus1 brockhoff (2010),2,5,1e-07,1449.066682,1.000000
1plus1 brockhoff (2010),2,10,1e-07,4714.000005,1.000000
1plus1 brockhoff (2010),2,20,1e-07,17564.200053,1.000000
1plus1 brockhoff (2010),3,2,1e-07,11869.727376,0.733333
1plus1 brockhoff (2010),3,5,1e-07,82701654,0.000000
1plus1 brockhoff (2010),3,10,1e-07,365103651,0.000000
1plus1 brockhoff (2010),3,20,1e-07,1530207651,0.000000
1plus1 brockhoff (2010),8,2,1e-07,448.466704,1.000000
1plus1 brockhoff (2010),8,5,1e-07,1737.666868,1.000000
1plus1 brockhoff (2010),8,10,1e-07,5046.733458,1.000000
1plus1 brockhoff (2010),8,20,1e-07,23973.665644,1.000000
1plus1 brockhoff (2010),15,2,1e-07,6846.42794,0.933333
1plus1 brockhoff (2010),15,5,1e-07,1067971359,0.000000
1plus1 brockhoff (2010),15,10,1e-07,7983479834,0.000000
1plus1 brockhoff (2010),15,20,1e-07,92000460000,0.000000
1plus2mirser brockhoff (2010),1,2,1e-07,157.066668,1.000000
1plus2mirser brockhoff (2010),1,5,1e-07,337.733328,1.000000
1plus2mirser brockhoff (2010),1,10,1e-07,705.800011,1.000000
1plus2mirser brockhoff (2010),1,20,1e-07,1425.466684,1.000000
1plus2mirser brockhoff (2010),2,2,1e-07,402.600011,1.000000
1plus2mirser brockhoff (2010),2,5,1e-07,1307.800004,1.000000
1plus2mirser brockhoff (2010),2,10,1e-07,3978.13338,1.000000
1plus2mirser brockhoff (2010),2,20,1e-07,14634.466797,1.000000
1plus2mirser brockhoff (2010),3,2,1e-07,3948.400112,1.000000
1plus2mirser brockhoff (2010),3,5,1e-07,82701654,0.000000
1plus2mirser brockhoff (2010),3,10,1e-07,365103651,0.000000
1plus2mirser brockhoff (2010),3,20,1e-07,1530207651,0.000000
1plus2mirser brockhoff (2010),8,2,1e-07,356.666688,1.000000
1plus2mirser brockhoff (2010),8,5,1e-07,1486.466726,1.000000
1plus2mirser brockhoff (2010),8,10,1e-07,4770.666378,1.000000
1plus2mirser brockhoff (2010),8,20,1e-07,25629.597876,1.000000
1plus2mirser brockhoff (2010),15,2,1e-07,6296.857772,0.933333
1plus2mirser brockhoff (2010),15,5,1e-07,1067971359,0.000000
1plus2mirser brockhoff (2010),15,10,1e-07,7983559668,0.000000
1plus2mirser brockhoff (2010),15,20,1e-07,92000460000,0.000000
a-CMA-ES Gissler (2023),1,2,1e-07,213.333336,1.000000
a-CMA-ES Gissler (2023),1,5,1e-07,624.266664,1.000000
a-CMA-ES Gissler (2023),1,10,1e-07,1206.333325,1.000000
a-CMA-ES Gissler (2023),1,20,1e-07,2200.866678,1.000000
a-CMA-ES Gissler (2023),2,2,1e-07,398.066673,1.000000
a-CMA-ES Gissler (2023),2,5,1e-07,1329.26669,1.000000
a-CMA-ES Gissler (2023),2,10,1e-07,3956.133285,1.000000
a-CMA-ES Gissler (2023),2,20,1e-07,13567.599915,1.000000
a-CMA-ES Gissler (2023),3,2,1e-07,3893.466688,1.000000
a-CMA-ES Gissler (2023),3,5,1e-07,3109717.33378,0.200000
a-CMA-ES Gissler (2023),3,10,1e-07,20582119.9992,0.066667
a-CMA-ES Gissler (2023),3,20,1e-07,21387964997,0.000000
a-CMA-ES Gissler (2023),8,2,1e-07,483.200032,1.000000
a-CMA-ES Gissler (2023),8,5,1e-07,1965.26666,1.000000
a-CMA-ES Gissler (2023),8,10,1e-07,6647.332945,1.000000
a-CMA-ES Gissler (2023),8,20,1e-07,17801.865624,1.000000
a-CMA-ES Gissler (2023),15,2,1e-07,2482.13362,1.000000
a-CMA-ES Gissler (2023),15,5,1e-07,17504.661655,1.000000
a-CMA-ES Gissler (2023),15,10,1e-07,75053.699748,1.000000
a-CMA-ES Gissler (2023),15,20,1e-07,193949.8,1.000000
ABC elabd (2010),1,2,1e-07,938.321916,0.973333
ABC elabd (2010),1,5,1e-07,3105.666672,1.000000
ABC elabd (2010),1,10,1e-07,7030.600003,1.000000
ABC elabd (2010),1,20,1e-07,16087.733319,1.000000
ABC elabd (2010),2,2,1e-07,2192.700005,1.000000
ABC elabd (2010),2,5,1e-07,5837.266708,1.000000
ABC elabd (2010),2,10,1e-07,13196.39997,1.000000
ABC elabd (2010),2,20,1e-07,27413.599851,1.000000
ABC elabd (2010),3,2,1e-07,2314.333168,1.000000
ABC elabd (2010),3,5,1e-07,7355.000584,1.000000
ABC elabd (2010),3,10,1e-07,16273.598649,1.000000
ABC elabd (2010),3,20,1e-07,37566.065705,1.000000
ABC elabd (2010),8,2,1e-07,33380032,0.000000
ABC elabd (2010),8,5,1e-07,211016036,0.000000
ABC elabd (2010),8,10,1e-07,1343055063,0.000000
ABC elabd (2010),8,20,1e-07,8968179360,0.000000
ABC elabd (2010),15,2,1e-07,948485.874872,0.233333
ABC elabd (2010),15,5,1e-07,10680461155,0.000000
ABC elabd (2010),15,10,1e-07,79837672364,0.000000
ABC elabd (2010),15,20,1e-07,920017480000,0.000000
ACOR liao (2012),1,2,1e-07,446.4,1.000000
ACOR liao (2012),1,5,1e-07,1099.400004,1.000000
ACOR liao (2012),1,10,1e-07,2606.79999,1.000000
ACOR liao (2012),1,20,1e-07,7036.53333,1.000000
ACOR liao (2012),2,2,1e-07,696.733323,1.000000
ACOR liao (2012),2,5,1e-07,1610.266624,1.000000
ACOR liao (2012),2,10,1e-07,3602.46666,1.000000
ACOR liao (2012),2,20,1e-07,9954.86685,1.000000
ACOR liao (2012),3,2,1e-07,8332.866496,1.000000
ACOR liao (2012),3,5,1e-07,394819.866244,1.000000
ACOR liao (2012),3,10,1e-07,35391937.7492,0.266667
ACOR liao (2012),3,20,1e-07,76510000000,0.000000
ACOR liao (2012),8,2,1e-07,4362.133328,1.000000
ACOR liao (2012),8,5,1e-07,117318.066534,1.000000
ACOR liao (2012),8,10,1e-07,199438.133623,1.000000
ACOR liao (2012),8,20,1e-07,559977.600548,1.000000
ACOR liao (2012),15,2,1e-07,12662.933196,1.000000
ACOR liao (2012),15,5,1e-07,324405.874468,1.000000
ACOR liao (2012),15,10,1e-07,32107157.5193,0.266667
ACOR liao (2012),15,20,1e-07,4.6e+12,0.000000
ad-CMA-ES Gissler (2023),1,2,1e-07,227.533332,1.000000
ad-CMA-ES Gissler (2023),1,5,1e-07,656.066664,1.000000
ad-CMA-ES Gissler (2023),1,10,1e-07,1331.599996,1.000000
ad-CMA-ES Gissler (2023),1,20,1e-07,2448.266662,1.000000
ad-CMA-ES Gissler (2023),2,2,1e-07,420.866676,1.000000
ad-CMA-ES Gissler (2023),2,5,1e-07,1415.333372,1.000000
ad-CMA-ES Gissler (2023),2,10,1e-07,3962.26662,1.000000
ad-CMA-ES Gissler (2023),2,20,1e-07,13595.800023,1.000000
ad-CMA-ES Gissler (2023),3,2,1e-07,3867.400096,1.000000
ad-CMA-ES Gissler (2023),3,5,1e-07,2043337.49965,0.266667
ad-CMA-ES Gissler (2023),3,10,1e-07,4391170881,0.000000
ad-CMA-ES Gissler (2023),3,20,1e-07,16908549329,0.000000
ad-CMA-ES Gissler (2023),8,2,1e-07,437.066672,1.000000
ad-CMA-ES Gissler (2023),8,5,1e-07,2327.2667,1.000000
ad-CMA-ES Gissler (2023),8,10,1e-07,5539.133664,1.000000
ad-CMA-ES Gissler (2023),8,20,1e-07,21227.399488,1.000000
ad-CMA-ES Gissler (2023),15,2,1e-07,2403.4005,1.000000
ad-CMA-ES Gissler (2023),15,5,1e-07,23232.39789,1.000000
ad-CMA-ES Gissler (2023),15,10,1e-07,69730.288794,1.000000
ad-CMA-ES Gissler (2023),15,20,1e-07,209167.98,1.000000
adapt-Nelder-Mead-scipy-2019 Varelas (2019),1,2,1e-07,77.733336,1.000000
adapt-Nelder-Mead-scipy-2019 Varelas (2019),1,5,1e-07,425.266668,1.000000
adapt-Nelder-Mead-scipy-2019 Varelas (2019),1,10,1e-07,1591.333338,1.000000
adapt-Nelder-Mead-scipy-2019 Varelas (2019),1,20,1e-07,7887.799987,1.000000
adapt-Nelder-Mead-scipy-2019 Varelas (2019),2,2,1e-07,114.066657,1.000000
adapt-Nelder-Mead-scipy-2019 Varelas (2019),2,5,1e-07,1325.266708,1.000000
adapt-Nelder-Mead-scipy-2019 Varelas (2019),2,10,1e-07,4867.26669,1.000000
adapt-Nelder-Mead-scipy-2019 Varelas (2019),2,20,1e-07,20763.666501,0.200000
adapt-Nelder-Mead-scipy-2019 Varelas (2019),3,2,1e-07,86644.266512,0.000000
adapt-Nelder-Mead-scipy-2019 Varelas (2019),3,5,1e-07,827001654,0.000000
adapt-Nelder-Mead-scipy-2019 Varelas (2019),3,10,1e-07,3651003651,0.000000
adapt-Nelder-Mead-scipy-2019 Varelas (2019),3,20,1e-07,15302007651,0.000000
adapt-Nelder-Mead-scipy-2019 Varelas (2019),8,2,1e-07,135.466688,1.000000
adapt-Nelder-Mead-scipy-2019 Varelas (2019),8,5,1e-07,1074.200156,1.000000
adapt-Nelder-Mead-scipy-2019 Varelas (2019),8,10,1e-07,5076.933499,1.000000
adapt-Nelder-Mead-scipy-2019 Varelas (2019),8,20,1e-07,26744.535508,1.000000
adapt-Nelder-Mead-scipy-2019 Varelas (2019),15,2,1e-07,141707.454444,0.000000
adapt-Nelder-Mead-scipy-2019 Varelas (2019),15,5,1e-07,10679521359,0.000000
adapt-Nelder-Mead-scipy-2019 Varelas (2019),15,10,1e-07,79834079834,0.000000
adapt-Nelder-Mead-scipy-2019 Varelas (2019),15,20,1e-07,920000460000,0.000000
Adaptive-Two-Mode Bodner (2019),1,2,1e-07,2212.999998,1.000000
Adaptive-Two-Mode Bodner (2019),1,5,1e-07,4759.466664,1.000000
Adaptive-Two-Mode Bodner (2019),1,10,1e-07,12553.86667,1.000000
Adaptive-Two-Mode Bodner (2019),1,20,1e-07,24582.000017,1.000000
Adaptive-Two-Mode Bodner (2019),2,2,1e-07,18262.399999,1.000000
Adaptive-Two-Mode Bodner (2019),2,5,1e-07,98593.133374,1.000000
Adaptive-Two-Mode Bodner (2019),2,10,1e-07,358101.60009,1.000000
Adaptive-Two-Mode Bodner (2019),2,20,1e-07,1858749.78585,0.933333
Adaptive-Two-Mode Bodner (2019),3,2,1e-07,5206.13336,1.000000
Adaptive-Two-Mode Bodner (2019),3,5,1e-07,49087.066314,1.000000
Adaptive-Two-Mode Bodner (2019),3,10,1e-07,199962.53175,1.000000
Adaptive-Two-Mode Bodner (2019),3,20,1e-07,1011751.99693,1.000000
Adaptive-Two-Mode Bodner (2019),8,2,1e-07,8518.400016,1.000000
Adaptive-Two-Mode Bodner (2019),8,5,1e-07,1845562.57128,0.133333
Adaptive-Two-Mode Bodner (2019),8,10,1e-07,2686064464,0.000000
Adaptive-Two-Mode Bodner (2019),8,20,1e-07,17936470820,0.000000
Adaptive-Two-Mode Bodner (2019),15,2,1e-07,13161.000664,1.000000
Adaptive-Two-Mode Bodner (2019),15,5,1e-07,4378770.33603,0.200000
Adaptive-Two-Mode Bodner (2019),15,10,1e-07,159752065202,0.000000
Adaptive-Two-Mode Bodner (2019),15,20,1e-07,1.84095864e+12,0.000000
adm-CMA-ES Gissler (2023),1,2,1e-07,233.533332,1.000000
adm-CMA-ES Gissler (2023),1,5,1e-07,660.666672,1.000000
adm-CMA-ES Gissler (2023),1,10,1e-07,1345.333342,1.000000
adm-CMA-ES Gissler (2023),1,20,1e-07,2437.866682,1.000000
adm-CMA-ES Gissler (2023),2,2,1e-07,453.53332,1.000000
adm-CMA-ES Gissler (2023),2,5,1e-07,1444.666636,1.000000
adm-CMA-ES Gissler (2023),2,10,1e-07,3986.600085,1.000000
adm-CMA-ES Gissler (2023),2,20,1e-07,13542.266742,1.000000
adm-CMA-ES Gissler (2023),3,2,1e-07,2563.466832,1.000000
adm-CMA-ES Gissler (2023),3,5,1e-07,2234528.50028,0.266667
adm-CMA-ES Gissler (2023),3,10,1e-07,21415747.999,0.066667
adm-CMA-ES Gissler (2023),3,20,1e-07,22693348013,0.000000
adm-CMA-ES Gissler (2023),8,2,1e-07,489.199984,1.000000
adm-CMA-ES Gissler (2023),8,5,1e-07,2002.800184,1.000000
adm-CMA-ES Gissler (2023),8,10,1e-07,5592.066666,1.000000
adm-CMA-ES Gissler (2023),8,20,1e-07,18671.999276,1.000000
adm-CMA-ES Gissler (2023),15,2,1e-07,1959.600428,1.000000
adm-CMA-ES Gissler (2023),15,5,1e-07,24582.92746,1.000000
adm-CMA-ES Gissler (2023),15,10,1e-07,58451.26144,1.000000
adm-CMA-ES Gissler (2023),15,20,1e-07,200369.56,1.000000
ALPS hornby (2009),1,2,1e-07,5816.066664,1.000000
ALPS hornby (2009),1,5,1e-07,17230.266672,1.000000
ALPS hornby (2009),1,10,1e-07,35626.600007,1.000000
ALPS hornby (2009),1,20,1e-07,79528.266682,1.000000
ALPS hornby (2009),2,2,1e-07,9436.6,1.000000
ALPS hornby (2009),2,5,1e-07,24135.133372,1.000000
ALPS hornby (2009),2,10,1e-07,54513.20004,1.000000
ALPS hornby (2009),2,20,1e-07,143915.999889,1.000000
ALPS hornby (2009),3,2,1e-07,10789.666688,1.000000
ALPS hornby (2009),3,5,1e-07,55079.533124,1.000000
ALPS hornby (2009),3,10,1e-07,296036.800458,1.000000
ALPS hornby (2009),3,20,1e-07,24845838.3337,0.000000
ALPS hornby (2009),8,2,1e-07,14639.200016,1.000000
ALPS hornby (2009),8,5,1e-07,144082.933344,1.000000
ALPS hornby (2009),8,10,1e-07,3645063.09151,0.533333
ALPS hornby (2009),8,20,1e-07,22420000000,0.000000
ALPS hornby (2009),15,2,1e-07,12863.599576,1.000000
ALPS hornby (2009),15,5,1e-07,541791.475563,1.000000
ALPS hornby (2009),15,10,1e-07,399170000000,0.000000
ALPS hornby (2009),15,20,1e-07,2.3e+12,0.000000
AMALGAM bosman (2009),1,2,1e-07,277.333332,1.000000
AMALGAM bosman (2009),1,5,1e-07,1447.533336,1.000000
AMALGAM bosman (2009),1,10,1e-07,5452.066671,1.000000
AMALGAM bosman (2009),1,20,1e-07,23513.866687,1.000000
AMALGAM bosman (2009),2,2,1e-07,444.666657,1.000000
AMALGAM bosman (2009),2,5,1e-07,2284.933294,1.000000
AMALGAM bosman (2009),2,10,1e-07,8884.533255,1.000000
AMALGAM bosman (2009),2,20,1e-07,34658.266782,1.000000
AMALGAM bosman (2009),3,2,1e-07,5805.933168,1.000000
AMALGAM bosman (2009),3,5,1e-07,867059.332526,1.000000
AMALGAM bosman (2009),3,10,1e-07,140108035.001,0.066667
AMALGAM bosman (2009),3,20,1e-07,153121345146,0.000000
AMALGAM bosman (2009),8,2,1e-07,565.46672,1.000000
AMALGAM bosman (2009),8,5,1e-07,4083.266514,1.000000
AMALGAM bosman (2009),8,10,1e-07,18093.932796,1.000000
AMALGAM bosman (2009),8,20,1e-07,96897.26704,1.000000
AMALGAM bosman (2009),15,2,1e-07,3275.399456,1.000000
AMALGAM bosman (2009),15,5,1e-07,106198.87031,1.000000
AMALGAM bosman (2009),15,10,1e-07,289139.667674,1.000000
AMALGAM bosman (2009),15,20,1e-07,571262.96,1.000000
AVGNEWUOA ros (2010),1,2,1e-07,6,1.000000
AVGNEWUOA ros (2010),1,5,1e-07,16.2,1.000000
AVGNEWUOA ros (2010),1,10,1e-07,39.99999,1.000000
AVGNEWUOA ros (2010),1,20,1e-07,99.666647,1.000000
AVGNEWUOA ros (2010),2,2,1e-07,760.133326,1.000000
AVGNEWUOA ros (2010),2,5,1e-07,13701.399956,1.000000
AVGNEWUOA ros (2010),2,10,1e-07,48851.26662,1.000000
AVGNEWUOA ros (2010),2,20,1e-07,78281.133162,1.000000
AVGNEWUOA ros (2010),3,2,1e-07,1443.9332,1.000000
AVGNEWUOA ros (2010),3,5,1e-07,49249504,0.000000
AVGNEWUOA ros (2010),3,10,1e-07,272842881,0.000000
AVGNEWUOA ros (2010),3,20,1e-07,1576113651,0.000000
AVGNEWUOA ros (2010),8,2,1e-07,143.333344,1.000000
AVGNEWUOA ros (2010),8,5,1e-07,472.133178,1.000000
AVGNEWUOA ros (2010),8,10,1e-07,1101.799886,1.000000
AVGNEWUOA ros (2010),8,20,1e-07,4447.468852,1.000000
AVGNEWUOA ros (2010),15,2,1e-07,3414.99966,0.866667
AVGNEWUOA ros (2010),15,5,1e-07,628830319,0.000000
AVGNEWUOA ros (2010),15,10,1e-07,5894942560,0.000000
